Title,url,Item Description
The cat - Felis domesticus,https://www.loc.gov/item/2017660723/,"1 print : color lithograph ; sheet 27.9 x 35.6 cm. | Print shows a left side view of a domestic cat, full-length, lying down, faceing front, with one paw resting on a ball of yarn; also shows ""eye in sunlilght"" and ""eye at night"", ""teeth of cat family"", ""tongue of cat family"", ""claw drawn back"", and ""claw thrust out""."
The black cat,https://www.loc.gov/item/93509663/,1 print : engraving. | Black cat on head of woman.
[Mother cat and kittens],https://www.loc.gov/item/2013646722/,"1 print : wood engraving ; 5.2 x 7.2 cm (image), 10.4 x 12.9 cm (sheet) | Print shows a cat with three kittens."
Cat and kittens,https://www.loc.gov/item/2017650796/,"1 print : chromolithograph ; sheet 31.6 x 22.3 cm. | Print shows a cat with three kittens at a green food or water dish, with a basket of straw in a room where the floor is also strewn with straw."
"The Black Cat, December",https://www.loc.gov/item/2015647209/,"1 print : color ; sheet 30 x 24 cm (poster format) | Poster shows a black cat wearing a collar with a ""5 cents"" charm as the cover illustration for The Black Cat for December."
Treatise on Cats.,https://www.loc.gov/item/2021668043/,"This manuscript containing fine paintings of cats is in the format of a samut khoi (Thai folding book) with 12 folios, which open from top to bottom. It was produced in the 19th century in central Thailand. Folding books were usually made from the bark of mulberry trees; minerals, plant liquids, and occasionally materials imported from China and Europe were used as paints. Sometimes..."
[Two domestic cats fighting],https://www.loc.gov/item/2012645546/,1 print : lithograph ; 23.2 x 31.5 cm (sheet)
[College girl walking cats],https://www.loc.gov/item/2018757284/,1 print : photomechanical ; sheet 92 x 122 cm. or less.
"[Cat, curled up]",https://www.loc.gov/item/2010718354/,1 drawing : charcoal.
Sketches from cat life,https://www.loc.gov/item/2010718276/,1 drawing : pen and ink.
Hon[orable Mr] cat,https://www.loc.gov/item/2003675444/,"1 print on white wove tissue paper : woodcut, color ; 21.7 x 9.6 cm. (block), 26.8 x 19.2 cm. (sheet) | Print shows a young Japanese girl carrying a cat, walking in the rain under an umbrella held by an adult."
"Cats posed in pots
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",//lccn.loc.gov/2006678567,"6 photographic prints on stereo cards : stereograph, albumen ; 9 x 18 cm. | Photographs show a series of humorous photographs of cats posed with props."
Cats used in experiments,https://www.loc.gov/item/2020736291/,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,https://www.loc.gov/item/2020736862/,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,https://www.loc.gov/item/2020736863/,1 photograph : color transparency ; 35mm (slide format)
Cats used in experiments,https://www.loc.gov/item/2020736864/,1 photograph : color transparency ; 35mm (slide format)
"Schermerhorn cat, portrait photograph",https://www.loc.gov/item/2018715869/,1 negative : nitrate ; 4 x 5 in. or smaller.
Study of a cat,https://www.loc.gov/item/00652567/,"1 photographic print : gelatin silver. | Photograph shows close-up portrait of a cat, possibly one of the cats that Arnold Genthe called Buzzer."
[Black cat in garden],https://www.loc.gov/item/2005693005/,"1 drawing : watercolor, gouache, and ink over graphite underdrawing. | Drawing shows a black cat walking stealthily through a garden full of brightly colored flowers."
"Clicker training for cats /
                
            
        

        
        
        

            Catalog Record - Electronic Resource Available",//lccn.loc.gov/2001117576,No data listed
Cats at play,https://www.loc.gov/item/2016796356/,"1 transparency : autochrome, color ; 8 x 10 in."
[Cats at play],https://www.loc.gov/item/2016796873/,1 transparency : glass ; 8 x 10 in.
"Cat Island, July 1935",https://www.loc.gov/item/2007660208/,1 photographic print.
"Cat Island, July 1935",https://www.loc.gov/item/2007660209/,1 photographic print.
[Cats with cauldron],https://www.loc.gov/item/2018696753/,1 print : chromolithograph ; sheet 92 x 122 cm. or less.
[Dressing up the cat],https://www.loc.gov/item/2010717875/,1 drawing : wash.
The diseases of the cat,https://www.loc.gov/item/01027740/,Also available in digital form.
